fecha,hora,dia_semana,linea,color_linea,estacion,latitud,longitud,pasajeros,saturacion
2025-10-27,5,Lunes,Roja,#E63946,Terminal Rojo Sur,-16.52980268303161,-68.11968796271911,90,11.2
2025-10-27,5,Lunes,Roja,#E63946,Parque Urbano,-16.520883832775663,-68.11426764770844,43,5.4
2025-10-27,5,Lunes,Roja,#E63946,Pura Pura,-16.503583854844408,-68.1139588310114,49,6.1
2025-10-27,5,Lunes,Roja,#E63946,Ceja El Alto Norte,-16.4963351147184,-68.11557532177864,96,12.0
2025-10-27,6,Lunes,Roja,#E63946,Terminal Rojo Sur,-16.530633190980293,-68.11939151551408,409,51.1
2025-10-27,6,Lunes,Roja,#E63946,Parque Urbano,-16.520136109962717,-68.1154175417196,260,32.5
2025-10-27,6,Lunes,Roja,#E63946,Pura Pura,-16.504721012278697,-68.11341571070292,267,33.4
2025-10-27,6,Lunes,Roja,#E63946,Ceja El Alto Norte,-16.497087860031566,-68.1144296480772,434,54.2
2025-10-27,7,Lunes,Roja,#E63946,Terminal Rojo Sur,-16.530907099174563,-68.1187849102962,946,100.0
2025-10-27,7,Lunes,Roja,#E63946,Parque Urbano,-16.52086989681403,-68.11410222892549,474,59.2
2025-10-27,7,Lunes,Roja,#E63946,Pura Pura,-16.50338320530377,-68.11339077246166,599,74.9
2025-10-27,7,Lunes,Roja,#E63946,Ceja El Alto Norte,-16.496631533946974,-68.11511969501251,809,100.0
2025-10-27,8,Lunes,Roja,#E63946,Terminal Rojo Sur,-16.530009646179778,-68.11993122295777,799,99.9
2025-10-27,8,Lunes,Roja,#E63946,Parque Urbano,-16.5204824400368,-68.11467495543128,578,72.2
2025-10-27,8,Lunes,Roja,#E63946,Pura Pura,-16.503959863957647,-68.11290657944132,486,60.8
2025-10-27,8,Lunes,Roja,#E63946,Ceja El Alto Norte,-16.496060830744472,-68.11444973435327,816,100.0
2025-10-27,9,Lunes,Roja,#E63946,Terminal Rojo Sur,-16.53060803427516,-68.11990954542217,708,88.5
2025-10-27,9,Lunes,Roja,#E63946,Parque Urbano,-16.52022264542062,-68.11545730193644,437,54.6
2025-10-27,9,Lunes,Roja,#E63946,Pura Pura,-16.504286493346616,-68.11343813098063,507,63.4
2025-10-27,9,Lunes,Roja,#E63946,Ceja El Alto Norte,-16.49771815155005,-68.11439560603849,818,100.0
2025-10-27,10,Lunes,Roja,#E63946,Terminal Rojo Sur,-16.5290262261268,-68.1184555104614,495,61.9
2025-10-27,10,Lunes,Roja,#E63946,Parque Urbano,-16.520988955765752,-68.11436907714308,295,36.9
2025-10-27,10,Lunes,Roja,#E63946,Pura Pura,-16.50354198566392,-68.11245745930663,344,43.0
2025-10-27,10,Lunes,Roja,#E63946,Ceja El Alto Norte,-16.497283068542913,-68.11576826188094,495,61.9
2025-10-27,11,Lunes,Roja,#E63946,Terminal Rojo Sur,-16.53087288329943,-68.11937803535656,495,61.9
2025-10-27,11,Lunes,Roja,#E63946,Parque Urbano,-16.519540787643322,-68.11472488505729,282,35.2
2025-10-27,11,Lunes,Roja,#E63946,Pura Pura,-16.504055570149678,-68.11376081150813,333,41.6
2025-10-27,11,Lunes,Roja,#E63946,Ceja El Alto Norte,-16.496478429902766,-68.11487744560486,555,69.4
2025-10-27,12,Lunes,Roja,#E63946,Terminal Rojo Sur,-16.530012408807274,-68.11895453434124,771,96.4
2025-10-27,12,Lunes,Roja,#E63946,Parque Urbano,-16.52094916174651,-68.11578421714601,398,49.8
2025-10-27,12,Lunes,Roja,#E63946,Pura Pura,-16.503727179177474,-68.11337128803785,350,43.8
